step,Average PS,
0,3389.5,
1,3450.0,
2,3548.0,
3,3398.5,
4,3451.5,
5,3542.5,
6,3376.5,
7,3395.0,
8,3525.0,
9,3349.0,
10,3319.0,
11,3392.0,
12,2837.5,
13,2670.0,
14,2325.5,
15,2282.5,
16,2195.5,
17,1961.0,
18,1776.5,
19,1516.0,
20,1589.0,
21,1359.5,
22,1335.0,
23,1115.0,
24,1155.5,
25,1088.0,
26,1296.5,
27,883.0,
28,863.0,
29,1045.27,
30,739.5,
31,715.5,
32,306.23,
33,616.0,
34,875.5,
35,599.5,
36,601.0,
37,273.77,
38,587.5,
39,406.5,
40,488.5,
41,335.0,
42,434.5,
43,429.5,
44,367.5,
45,409.0,
46,281.0,
47,329.5,
48,357.5,
49,348.5,
50,292.5,
51,764.0,
52,370.0,
53,311.5,
54,289.0,
55,125.27,
56,292.0,
57,257.0,
58,199.0,
59,169.0,
60,237.0,
61,213.5,
62,187.5,
63,178.5,
64,144.0,
65,210.5,
66,201.0,
67,169.5,
68,162.5,
69,503.0,
70,183.5,
71,146.5,
72,103.5,
73,62.73,
74,134.5,
75,162.0,
76,235.0,
77,248.0,
78,145.5,
79,120.5,
80,59.23,
81,106.5,
82,213.5,
83,127.5,
84,110.5,
85,205.77,
86,119.5,
87,162.0,
88,112.5,
89,110.0,
90,150.73,
91,65.0,
92,40.23,
93,187.5,
94,204.0,
95,241.0,
96,80.0,
97,41.27,
98,34.23,
99,68.0,
100,190.0,
101,67.0,
102,76.0,
103,180.27,
104,64.0,
105,69.5,
106,25.73,
107,74.0,
108,62.5,
109,19.23,
110,22.23,
111,167.0,
112,60.5,
113,184.0,
114,27.27,
115,30.77,
116,26.23,
117,47.5,
118,138.5,
119,44.0,
120,42.5,
121,41.77,
122,54.0,
123,52.5,
124,16.73,
125,50.0,
126,77.5,
127,134.0,
128,16.23,
129,59.0,
130,40.0,
131,123.0,
132,20.77,
133,21.5,
134,13.73,
135,38.0,
136,94.5,
137,29.5,
138,33.5,
139,20.27,
140,30.5,
141,28.5,
142,15.73,
143,25.0,
144,96.0,
145,96.0,
146,30.0,
147,12.27,
148,13.73,
149,65.0,
150,72.5,
151,81.5,
152,27.0,
153,16.27,
154,13.23,
155,25.0,
156,22.0,
157,13.27,
158,24.0,
159,22.5,
160,9.23,
161,21.5,
162,34.0,
163,66.5,
164,18.0,
165,9.27,
166,20.0,
167,29.0,
168,49.0,
169,60.0,
170,20.0,
171,19.5,
172,6.73,
173,14.5,
174,44.5,
175,14.5,
176,14.0,
177,16.0,
178,5.73,
179,17.5,
180,34.5,
181,33.0,
182,13.0,
183,9.27,
184,18.5,
185,8.0,
186,14.0,
187,8.0,
188,14.0,
189,15.5,
190,11.5,
191,13.5,
192,5.27,
193,13.5,
194,14.5,
195,5.23,
196,11.0,
197,11.0,
198,15.73,
199,4.23,
200,32.5,
201,12.5,
202,35.5,
203,10.0,
204,5.27,
205,3.23,
206,10.5,
207,28.0,
208,12.0,
209,9.5,
210,19.77,
211,8.5,
212,28.0,
213,10.5,
214,7.5,
215,6.5,
216,4.23,
217,10.0,
218,5.77,
219,3.0,
220,3.23,
221,6.0,
222,22.0,
223,6.5,
224,5.5,
225,20.27,
226,6.0,
227,8.0,
228,6.0,
229,3.5,
230,13.73,
231,2.23,
232,12.5,
233,6.0,
234,16.27,
235,5.5,
236,3.0,
237,8.0,
238,4.0,
239,5.5,
240,5.27,
241,5.5,
242,5.5,
243,2.23,
244,5.5,
245,10.73,
246,5.0,
247,6.0,
248,6.0,
249,16.0,
250,1.77,
251,5.5,
252,7.5,
253,3.0,
254,4.0,
255,2.77,
256,3.0,
257,9.0,
258,2.23,
259,5.5,
260,9.0,
261,8.0,
262,4.5,
263,1.77,
264,5.0,
265,2.27,
266,2.27,
267,1.73,
268,6.0,
269,4.5,
270,7.0,
271,3.0,
272,2.77,
273,1.23,
274,4.5,
275,5.5,
276,11.5,
277,2.5,
278,2.77,
279,2.5,
280,2.5,
281,3.0,
282,1.5,
283,5.0,
284,5.0,
285,3.5,
286,2.5,
287,0.77,
288,2.5,
289,1.5,
290,0.22999999999999998,
291,1.0,
292,3.0,
293,0.0,
294,0.22999999999999998,
295,4.0,
296,7.0,
297,5.0,
298,2.0,
299,4.0,
